Name,Country,Years active,Proven victims,Possible victims,Notes
Ann Arbor Hospital Killer,United States,1975,10,10,Poisonings of 10 patients at the Veteran's Administration Hospital in 1975. Filipino nurses Filipina Narciso and Leonora Perez were tried for the crimes.[426]
Ludivine Chambet,France,2012–2013,10,10,"Known as ""The Poisoner of Chambéry""; nurse's aide who poisoned elderly patients; sentenced to 25 years imprisonment.[427]"
Frederick Mors,United States,1914–1915,8,8+,"Born Carl Menarik, Austrian who killed 8 elderly patients by poisoning in New York. Sent to an asylum and escaped. Never caught."
Elizabeth Wettlaufer,Canada,2007–2018,8,8,"Confessed to murdering eight senior citizens and attempting to murder six others in southwestern Ontario.[428] With a total of fourteen victims either killed or injured by her actions, she is described as one of the worst serial killers in Canadian history.[429]"
Petr Zelenka,Czech Republic,2006,7,21[430],Killed his victims with a lethal injection of heparin from May to September 2006. Ten people survived his murder attempt. Suspected of up to 14 additional murders.
Marianne Nölle,Germany,1984–1992,7,17,Nurse who was convicted of killing seven patients between 1984 and 1992; suspected of killing 17; sentenced to life imprisonment in 1993.[431]
Lucy Letby,United Kingdom,2015–2016,7,7,"Nurse convicted of murdering seven babies and attempting to murder another six while working at Countess of Chester Hospital in Chester, England.[432]"
Orville Lynn Majors,United States,1993–1995,6,130,"LPN in Vermillion County Ind., Preyed on elderly patients—thought to have killed many of them with injections of potassium chloride. Sentenced to 360 years in Indiana.[433]"
Efren Saldivar,United States,1989–1997,6,50+,"Respiratory therapist who killed six patients, possibly as many as 120.[434]"
Christine Malèvre,France,1998 and earlier,6,30,"Nurse who killed terminally ill patients claiming that they had asked her to help them die, something denied by their families. Sentenced to 12 years in prison for six murders and suspect of 30.[435]"
Antoinette Scieri,France,1924–1925,6,12+,Nurse who poisoned her elderly patients. Death sentence was commuted to life in prison and she died in prison.[436]
Ahmad Ahmadi,Imperial State of Iran,1931–1944,6,,Responsible for killing political prisoners at Qasr prison during the reign of Reza Shah.
Kristen Gilbert,United States,1990–1996,5,70+,"Nurse at a Massachusetts Veterans Medical Center who injected male patients with epinephrine, causing heart attacks. Sentenced to life without parole.[437]"
Frans Hooijmaijers,Netherlands,1970–1975,5,259,"Nurse who was convicted for killing five patients at a hospital in Kerkrade, the Netherlands from 1970 to 1975, but was suspected to have killed approximately 259 people."
Miyuki Ishikawa,Japan,1946–1948,5,84,"Killed 84 newborn children at maximum. As a midwife, she killed infants born to parents unwilling to care for them during the prohibition of abortion in Japan.[438] Arrested in 1948, and sentenced to four years imprisonment in 1953 as final decision.[439]"
Amy Archer-Gilligan,United States,1910–1917,5,48+,"A nursing home proprietor believed to have poisoned as many as 60 patients from her homes and her second husband. Charged with five murders originally, this was lowered to just one following her admission of guilt, and was found guilty of second degree murder. Died in a mental hospital in 1962.[440]"
Sonya Caleffi,Italy,2003–2004,5,18,Nurse who poisoned terminally-ill patients; sentenced to 20 years imprisonment.[441]
Aino Nykopp-Koski,Finland,2004–2009,5,,Nurse who killed five elderly patients using sedatives and opiates in Finland.
Kimberly Clark Saenz,United States,2008,5,,Killed five patients by using syringes to inject bleach into their dialysis lines.
Michael Swango,United States  Zimbabwe,1981–1997,4,35–60+,Medical Doctor who killed patients.[442]
Edson Izidoro Guimarães,Brazil,1999 and earlier,4,131,"Nurse who injected patients with potassium chloride or removed their oxygen mask. Confessed to five murders which he claimed to be mercy killings and was convicted of four in 2000; sentenced to 76 years in prison. He may have killed as many as 131 patients for money, as he was paid $60 for informing local funeral homes of a patient's death so that they could contact the deceased's relatives first.[443]"
Richard Angelo,United States,1987,4,25,"Known as ""The Angel of Death"". New York nurse convicted of four murders, linked to six other deaths. Suspected of killing up to 25 people.[444]"
Colin Norris,United Kingdom,2002,4,18,"Convicted of murdering four elderly women and attempting to murder another in two Leeds hospitals during 2002 while working as a nurse. He had injected the women, who were only in hospital due to broken hips, with massive overdoses of insulin. He was sentenced to life imprisonment with a minimum term of 30 years in 2008.[445]"
Beverley Allitt,United Kingdom,1991,4,,Convicted of murdering four children and attacking another six in the Lincolnshire hospital where she worked as a nurse. Given 13 life sentences.[446]
Abraao Jose Bueno,Brazil,2005,4,,Nurse who injected young children with sedatives until they stopped breathing. He would then alert doctors in an attempt to earn the respect of his colleagues for being the first one to notice that something was wrong. Convicted of 4 deaths and 4 more murder attempts to 110 years in prison.
Andrés Ulises Castillo Villarreal,Mexico,2009–2015,3,12+,"Known as ""The Chihuahua Ripper""; drugged, raped and then killed men in Chihuahua; sentenced to 120 years imprisonment.[447]"
Elfriede Blauensteiner,Austria,1981–1995,3,10+,"Known as ""The Black Widow""; poisoned people for material gain; died from a brain tumor in 2003.[448]"
Genene Jones,United States,1970–1982,2,60,Nurse convicted of murdering two infants via lethal injection. Accused of up to 60 murders.
Benjamin Geen,United Kingdom,2003–2004,2,12,"Nurse convicted in 2006 of murdering two patients and causing grievous bodily harm to another 15 at Horton General Hospital in Banbury, Oxfordshire between 2003 and 2004.[449] Induced illness in the patients with overdoses of drugs, in order to enjoy the 'thrill' of resuscitating them.[450] Given 17 life sentences and ordered to serve at least 30 years imprisonment.[451] 9 other cases were originally investigated.[450]"
Marie Fikáčková,Czechoslovakia,1957–1960,2,10+,Nurse who was executed by hanging in 1961 for murdering babies.
Victorino Chua,United Kingdom,2011,2,5,Poisoned several patients at Stepping Hill Hospital with insulin.
Christopher Duntsch,United States,2011–2013,2,,"Neurosurgeon known as ""Dr. Death""; injured 33 out of 38 patients in two years resulting in two deaths."
Felícitas Sánchez Aguillón,Mexico,1930–1941,1,50+,"Known as ""The Ogress of Roma neighborhood""; Nurse, midwife and baby farmer responsible for an unknown number of murders number during the 1930s, maybe 50 victims, in Mexico City."
Robert George Clements,United Kingdom,1920–1947,1,4,"Believed to have murdered his four wives, all of whom died young and had their death certificates signed by Clements himself. Clements committed suicide with a morphine overdose when police came to arrest him for the murder of his fourth wife, who had died of the same cause."
Murder Incorporated,United States,1920s–1940,400,1000+,"Murder Incorporated or Murder Inc. for short was a large criminal enterprise of small contract-killing groups that were collectively known as Murder Inc. Run by Albert ""The Mad Hatter"" Anastasia and his close associates, the organization was responsible for the assassinations of key witnesses of early Cosa Nostra activities, so as to make them 'disappear' and break the case against the lead mobsters whenever they went to trial. In 1941 the group was exposed by former member Abe ""Kid Twist"" Reles and subsequently ceased to exist."
Philadelphia poison ring,United States,1931–1938,114,,"Gang of 16 that poisoned Italian immigrants with arsenic in order to collect their life insurance. The leaders, cousins Herman and Paul Petrillo, were executed in the electric chair in 1941 while the rest were given life sentences.[452]"
Abboud and Khajawa,Iraq,?–1917,100+,,"Married couple who resorted to cannibalism during a famine in Mosul. They would use their young son to lure children into their home before beating them to death, dismembering them and eating their remains or serving them to members of the public at their restaurant. They also killed and ate one adult neighbour but found that her body contained too much fat.[453]"
Delfina and María de Jesús González,Mexico,1955–1964,91+,,"Two sisters who ran a brothel in Mexico, hired numerous sex workers and murdered at least 80 of them after they were deemed useless during the span of 10 years. They also killed 11 men. Probably the work of four of the sisters, sentenced to 40 years in prison. Body count varies due to the combined work of the sisters being impossible to assign to them individually.[28]"
"Peng Miaoji, Ding Yunjia and Su Xiaoping",China,1998–1999,77,84,"Fleeing to Shaanxi, Jiangsu, Anhui, and Henan provinces and 21 provinces and cities 33 administrative villages; during 38 burglaries, killed 77 people, seriously injured three others.[454][455]"
David Avendaño Ballina and his followers,Mexico,1997–2007,70,70,Sex servant gang who robbed and then poisoned their clients; the leader Ballina was arrested in 2008.[456]
Hassan Orangi and Abbas Ali Zarifian,Iran,1945–1951,62,,"Raped and murdered 62 women in Mashhad from 1945 to 1951. After his arrest, Orangi was tried, convicted, sentenced to death and later executed, while Zarifian was sentenced to 15 years for his role in the crimes."
Angel Makers of Nagyrév,Hungary,1911–1929,50,300+,"26 women who poisoned their husbands (sometimes also their parents, lovers and children) with arsenic under the guidance of midwife Júlia Fazekas and her accomplice, Susi Oláh.[457]"
Long Zhimin and Yan Shuxia,China,1983–1985,48,48+,Shaanxi Province Wang Shou villagers Long Zhimin and Yan Shuxia in the home has killed 48 people.[458]
"Bian Kuang, Fu Xinyuan and Luo Lianshun",China,2001–2002,41,,"Manufacturing 51 cases of murder, robbery, rape, killing 41 people. Bian Kuang personally killed 39 people.[459]"
Ivanova and Olga Tamarin,Russia,1909,40,130,"A mother and daughter who used accomplices to lure victims to their home. Tortured, murdered, and cannibalized at least 40 people before they were apprehended.[460]"
Ryno-Skachevsky gang,Russia,2006–2007,37,,"Racist skinhead gang, led by Artur Ryno and Pavel Skachevsky, who killed people from non-European ethnicities or backgrounds; both sentenced to 10 years of penal labour.[461]"
Gang of Amazons,Russia,2003–2013,30,,"Family of robbers and serial killers, led by the parents Inessa Tarverdiyeva and Roman Podkopaev.[462]"
"Dean Corll, David Owen Brooks and Elmer Wayne Henley",United States,1970–1973,28,29+,"Corll, known as ""The Candy Man"", killed at least 28 teenage boys and young men in Houston between 1970 and 1973. Corll was then shot and killed by one of the two teenage accomplices he recruited to assist him in the abductions of the victims on 8 August 1973. This accomplice, Elmer Wayne Henley, informed the police of the trio's murders the same day Corll was murdered.[463][464]"
Brabant killers,Belgium  France,1982–1985,28,40+,"Gang made up by at least three extremely violent robbers, none of whom was ever identified or apprehended. Their bloodlust increased dramatically in their last year of activity, when they began shooting passersby before a robbery, including children, for no seeming reason. Some have theorized links to Operation Gladio.[465]"
Adolfo Constanzo and Sara Aldrete,Mexico,1986–1989,25+,,"""The Godparents of Matamoros"". Leader and second-in-command of a drug-smuggling cult that abducted men to perform human sacrifices.[466]"
Shankill Butchers,United Kingdom,1975–1982,23,23+,"Ulster Loyalist gang led by Lenny Murphy, who killed people in sectarian attacks.[467]"
Viktor Sayenko and Igor Suprunyuk,Ukraine,2007,21,,"""The Dnepropetrovsk Maniacs"". A pair of 19-year-olds who, over the course of less than a month, attacked and murdered passersby while out on walks. They recorded videos of some of the murders, including one which subsequently leaked to the Internet.[468]"
Marcelo de Jesus Silva and his death squad,Brazil,?–2010,20+,,"Brazilian man convicted of 20 counts of murder, robbery, drug trafficking and death squad. As he was only 1.28m tall, he was nicknamed Chucky and Pigmeu. Murdered in 2010 by rivals traffickers."
Wang Zongfang and Wang Zongwei,China,1983,19,,Killed soldiers using various arms in three provinces. Executed in 1983.[469]
Anísio Ferreira de Sousa and followers,Brazil,1989–1992,19,,"Satanic ring that abducted, mutilated and sacrificed children in Altamira, Brazil. The leader, Ferreira de Sousa, was convicted to 77 years in prison for four murders and two attempted murders.[470]"
Ripper Crew,United States,1981–1982,18,,"Abducted women, mostly sex workers, then raped, tortured and killed them in Chicago, Illinois.[471]"
John Allen Muhammad and Lee Boyd Malvo,United States,2002,17,,"Killed seventeen people from February to September 2002 and 10 in the Beltway sniper attacks of October 2002. Muhammad was executed in 2009, while Malvo received life imprisonment."
Vladyslav Volkovich and Volodymyr Kondratenko,Ukraine,1991–1997,16,20+,"""The Nighttime Killers"". Murdered homeless men and lone drivers with a variety of weapons.[472]"
Death Angels,United States,1973–1974,16,,Four African-Americans who killed 16 white people and injured between eight and 10 in San Francisco (Zebra murders).[473]
Lainz Angels of Death,Austria,1983–1989,15,49–200+,"Known as the ""Lainz Angels of Death""; Waltraud Wagner, Irene Leidolf, Stephanija Mayer, and Maria Gruber were nurses at the Lainz General Hospital in Vienna who admitted to murdering 49 patients.[474]"
The Cleaners,Russia,2014–2015,15,15+,"Neo-Nazi gang, led by Pavel Voitov and Elena Lobacheva, who murdered alcoholic tramps and beggars; Voitov sentenced to life imprisonment and Lobacheva to 13 years in a penal colony.[475]"
José Miculax Bux and Mariano Macú Miculax,Guatemala,1946,15,,Cousins who killed 15 boys in 1946.
Fred West and Rosemary West,United Kingdom,1967–1987,12,30,"Mainly targeted young women but were also found guilty of murdering two of their own daughters. Also found guilty of raping another daughter. Buried the victims around their house and local area of Gloucester. Shortly before he killed himself in 1995, Fred West said there were more victims.[476] At one point he confessed to killing up to 30.[477]"
Briley Brothers,United States,1971–1979,12,,"Three brothers and an accomplice responsible for 12 murders in the 1970s in Richmond, Virginia.[478]"
"John Justin Bunting, Robert Joe Wagner and James Spyridon Vlassakis",Australia,1992–1999,12,,"The bodies of eight victims were found in plastic barrels in a disused bank vault in Snowtown, South Australia. Bunting was found guilty of 11 murders, Wagner pleaded guilty to three and was convicted of a further seven murders.[479]"
Mailoni Brothers,Zambia,2007–2013,12,,Three brothers who killed at least 12 people from 2007 to 2013. Killed by Zambia Army Commandos in 2013.[480]
Leonard Lake and Charles Ng,United States,1982–1985,11,25,"Abducted women, used them as sex slaves, and then murdered them, together with any men, women, and children who got in their way. Lake killed himself upon arrest, but Ng was later convicted of killing 11 people. Between 1982 and 1985, Lake and Ng were believed to have abducted and killed as many as 25 victims, as evidenced by human remains found on Lake's California ranch.[481]"
Bloody Benders,United States,1871–1873,11,20,"The Bender family, more well known as the Bloody Benders, were a family of serial killers in Labette County, Kansas, United States, from May 1871 to December 1872. Estimates report that the Benders killed at least a dozen travelers, and perhaps as many as twenty before they were discovered. The family's fate remains unknown, with theories ranging from a lynching to a successful escape."
Shen Changyin and Shen Changping,China,1999–2004,11,,Found guilty of the murders of 11 sex workers.[482] They were executed in 2006.[citation needed]
Polatbay Berdaliyev and Abduseit Ormanov,Uzbekistan  Kazakhstan,2011–2012,11,,"Raped, robbed and murdered women along desolate roads; both sentenced to life imprisonment in both countries.[483]"
Wolfgang Abel and Marco Furlan,Italy  West Germany  Netherlands,1977–1984,10,27,"The victims, seemingly chosen at random and killed by different methods, were found next to letters written in Italian, signed ""Ludwig"" and containing Nazi imagery, that gave a reason for why the murder had been committed. Abel and Furlan were arrested in Castiglione delle Stiviere while dousing a crowded discothèque with gasoline and sentenced in 1987 to 30 years in prison for all crimes (later reduced to 27).[484]"
Juan Carlos Hernández and Patricia Martínez,Mexico,2012–2018,10,20,"Known as the ""Monsters of Ecatepec""; couple who raped, murdered and cannibalized women.[485]"
Hillside Stranglers,United States,1977–1979,10,10,"Initially believed to be one person, two perpetrators were eventually discovered to be cousins Kenneth Bianchi and Angelo Buono Jr. Convicted of kidnapping, raping, torturing and murdering 10 women and girls ranging in age from 12 to 28."
Joshi-Abhyankar serial murderers,India,1976–1977,10,,"Four Pune commercial art students (Rajendra Jakkal, Dilip Sutar, Shantaram Kanhoji Jagtap and Munawar Harun Shah) that broke into random people's homes and businesses and strangled them with a nylon rope. Executed by hanging in 1983.[486]"
Gerald and Charlene Gallego,United States,1978–1980,10,,"Killed 10 victims in Sacramento, California. Gerald Gallego died of cancer before his death sentence could be carried out. Charlene Gallego was released July 1997.[487]"
Viña del Mar psychopaths,Chile,1980–1981,10,,"Jorge Sagredo and Carlos Topp committed 10 murders and four rapes from 5 August 1980 to 1 November 1981 in the city of Viña del Mar. Executed by firing squad in 1985, they became the last people executed in Chile.[488]"
Yevgeny Nagorny and Sergei Stavitsky,Russia,1998,10,,Killed clients with expensive cars in their autoshop in order to sell them; sentenced to life imprisonment.[489]
National Socialist Underground,Germany,2000–2007,10,,"Neo-Nazi group who killed 10 ethnic Turks in the Bosphorus serial murders from 2000 to 2007. Most victims were small business owners killed in broad daylight with a gunshot to the face. Two of the suspects killed themselves and a third, Beate Zschäpe, was apprehended in 2011.[490]"
The Manson Family cult killings,United States,1967–1969,9,21―35[491][492],"A California desert cult formed by Charles Manson in 1967, the 'Manson Family' committed a series of murders in name of promoting Manson's goal of causing a race war that he called Helter Skelter."
Song Jinghua and Yan Jinguang,China,2005–2007,9,9,"Robbed and killed women in Beijing out of revenge for Song's brother, who was previously executed for an unrelated crime.[493]"
Tadeusz Grzesik and the Bureaucrats Gang,Poland,1991–2007,8,20+,"Robbed and killed people in several Polish voivodeships, mainly owners of exchange offices.[494]"
Edgar Álvarez Cruz and Francisco Granados,Mexico,1993–2003,8–10,14+,"Kidnapped, drugged, raped and then killed women in cotton fields.[495]"
The Ciudad Juárez Rebels,Mexico,1995–1996,8,10–14,"Gang of serial killers, led by Sergio Armendáriz Diaz and Juan Contreras Jurado, who killed women in Ciudad Juárez; claimed to work for Abdul Latif Sharif.[496]"
The Hernández Brothers Sect,Mexico,1963,8,,"Originally a scam intended to extort money and sexual favors from the poor, illiterate inhabitants of the small village of Yerba Buena, who were promised favors from ""Inca gods"" in the mountains, the cult came to include Aztec-inspired human sacrifices after prostitute Magdalena Solís took over as high priestess. 15 people were sentenced to 30 years in prison for their participation in the ritual murders of seven villagers and one police officer."
Rudolfo Infante and Anna Villeda,Mexico,1991,8,,Responsible for 8 murders.[497]
Dale Hausner and Samuel Dieteman,United States,2006,8,,"Known as the ""Serial Shooter"". Responsible for 8 murders in random drive-by shootings in 2006 in Phoenix, Arizona."
Futoshi Matsunaga and Junko Ogata,Japan,1996–1998,7,9,"Matsunaga and Ogata tortured and killed seven people who Matsunaga held prisoner through blackmail, six of whom were members of the Ogata family. Matsunaga was also investigated in the death of a woman he defrauded and one of her children but no evidence was found to prove he had murdered them."
Christopher Worrell and James Miller,Australia,1976–1977,7,7,"Known as the ""Truro Murderers""; Worrell was killed in a car accident and the killings stopped. Later Miller was convicted of killing seven people in 1976–1977.[498]"
Fa Ziying and Lao Rongzhi,China,1996–1999,7,7,"A pair of Chinese serial killers. The two met in 1993 and later became lovers. The prosecution accused them of kidnapping, robbery, and murder in Nanchang, Wenzhou, and Hefei from 1996 to 1999. A total of 7 people were killed. Ziying was arrested on 23 July 1999 in Hefei and subsequently sentenced to death, deprived of political rights for life, and fined by the Hefei Intermediate People's Court. On 28 December 1999, Ziying was executed by being shot."
Johannes van Rooyen and Dumisani Makhubela,South Africa,2005,7,7,"Two South African men who raped, robbed and murdered multiple victims, including a family of four. Sentenced to four centuries in prison after a two-year trial.[499]"
Auto Shankar's Gang,India,1988–1989,6,9,"Nine men who collaborated to abduct and murder at least 6 teenage girls in Chennai; their bodies were cremated and thrown into the sea or buried under residential homes. Leader Auto Shankar and two accomplices were sentenced to death by hanging in 1991, his brother Auto Mohan to three consecutive life sentences in prison and five other collaborators to six months in prison."
Gert van Rooyen and Joey Haarhof,South Africa,1988–1989,6,8,Their victims were never found; the pair shot dead a police officer and then committed suicide when faced with arrest after the escape of their last kidnap victim.
Kiss brothers and Zsolt István Pető,Hungary,2008–2009,6,6,"A series of murders perpetrated by three Neo-Nazis (with an accomplice István Csaba Csontos) against people of Roma ethnicity, occurring between July 2008 and August 2009. It is regarded as one of the worst crimes in the country's history after the war."
Hermann Duft and Hans Wilhelm Bassenauer,Greece,1969,6,,"German serial killers who murdered six persons in Greece, within a short period in 1969, were captured, tried, sentenced to death and executed."
David Alan Gore and Fred Waterfield,United States,1981–1983,6,,Cousins connected to the murders of six females. Gore was executed in 2012 and Waterfield was sentenced to life imprisonment.
Artyom Alexandrovich Anoufriev and Nikita Vakhtangovich Lytkin,Russia,2010–2011,6,,Teenaged thrill-killers of random people.
The Skin Hunters,Poland,2002 and earlier,5,40–1200+[500],"Hospital crew that killed patients in order to get bribes from nearby funeral homes. Two doctors and two paramedics were convicted for the murder of five patients, but the investigation is continuing, with over 40 remaining suspects. There are also suspicions that due to the heavy use of pancuronium bromide, scoline and potassium chloride in 1998–2001, the number of victims could be as high as 1200.[501]"
Ray and Faye Copeland,United States,1986–1989,5,12,Oldest couple ever sentenced to death in the United States at the ages of 75 and 69; convicted of killing five men; modus operandi was to hire unskilled drifters as farmhands and later kill them.[502]
Ian Brady and Myra Hindley,United Kingdom,1963–1965,5,12,"Responsible for the ""Moors murders"": they abducted, raped, tortured and murdered at least five children in the Manchester area before burying their victims on Saddleworth Moor as part of an experiment in ""existential experience"". The case attracted much media coverage long after the two were sentenced, especially in the United Kingdom, as Hindley sought release from prison from the 1980s but was refused and died in prison. Five victims were identified although Brady periodically claimed that there were up to twelve."
Lawrence Bittaker and Roy Norris,United States,1979,5,5,"The ""Toolbox Killers""; they kidnapped, raped, tortured and murdered five female hitchhikers in southern California over a five-month period in 1979.[503]"
"""The Family""",Australia,1979–1983,5,,"An alleged group of up to 12 Australian men, believed to include unspecified high-profile figures, responsible for the abduction, torture and murder of five Australian teenagers and young adults who died from being sodomized with blunt instruments. One member of the group, Bevan Spencer von Einem, was convicted of the final murder, but police believe more unidentified people to have been involved in the crimes. The group has also been linked to upwards of 150 sexual assaults and rapes against teenage boys.[504]"
James Gregory Marlow and Cynthia Coffman,United States,1986,5,,Killed four women and one man in 1986.
Gwendolyn Graham and Catherine May Wood,United States,1987,5,,"Nurses who killed five elderly women in Grand Rapids, Michigan."
Chijon family,South Korea,1993,5,,South Korean gang of cannibals that was sentenced to death for killing five people.
Loren Herzog and Wesley Shermantine,United States,1984–1999,4,19[505],"Known as the ""Speed Freak Killers""; California duo initially convicted of four murders from 1984 to 1999.[506]"
David and Catherine Birnie,Australia,1986,4,4–8,"Australian couple who raped and murdered four women in their home and attempted to murder a fifth in Perth in 1986. Both were sentenced to four consecutive life sentences without the possibility of parole; David Birnie hanged himself in prison on October 7, 2005."
John Duffy and David Mulcahy,United Kingdom,1985–86,3,100+,"Known as the ""Railway Rapists"". Duffy and Mulcahy stalked and raped women near train stations in London, killing at least three of the victims. Duffy was found guilty in 1988 of two murders and four rapes. He later confessed to another murder and implicated Mulcahy in his crimes, leading to his conviction.[507] After Mulcahy's trial, the police announced that they were investigating possible links between the two men and hundreds of unsolved rape and murder cases.[508]"
Raymond Fernandez and Martha Beck,United States,1947–1949,3,20,"Known as the ""Lonely Hearts Killers"", Fernandez and Beck extorted women Fernandez met through lonely hearts advertisements. Both were arrested in Michigan in 1949 for the murders of a woman and her two-year-old daughter, but Michigan authorities waived prosecution and extradited the pair to New York to face trial for a murder that occurred there because New York had the death penalty while Michigan did not. They were convicted of that murder and executed in 1951.[509]"
Beasts of Satan,Italy,1998–2004,3,18,"Cult members responsible for ritualistic murders, and are suspected in other cases, including suicides.[510]"
James Paster and Stephen McCoy,United States,1980–1981,3,5,"Texas duo convicted of three murders from 1980 to 1981, and both subsequently executed. Shortly before his execution Paster confessed to having committed two additional murders.[511][512][513]"
Paul Bernardo and Karla Homolka,Canada,1990–1992,3,5,"Bernardo, a serial rapist, and his girlfriend Homolka were responsible for the murders of three teenage girls, including Homolka's sister Tammy Homolka, who were kidnapped and raped by Bernardo before being killed by Bernardo and Homolka. Homolka received a light sentence in return for testifying against Bernardo as part of a controversial plea bargain; it was proved after the bargain that her involvement in the murders was greater than previously believed. Bernardo has also been suggested as a suspect in a 1991 death with similarities to his modus operandi, and is the prime suspect in the 1990 disappearance and probable murder of Elizabeth Bain, which her boyfriend Robert Baltovich was wrongly convicted of before being exonerated in 2008."
Michael Bear Carson and Suzan Carson,United States,1981–1983,3,3+,Nomadic hippie killers involved in the counter-culture movement; sentenced to life imprisonment for three San Francisco Bay Area murders in 1983.
Joseph and Michael Kallinger,United States,1974–1975,3,,Joseph Kallinger murdered three people and tortured four families with his 13-year-old son Michael in New Jersey.
Silvia Merez Cult,Mexico,2009–2012,3,,Ritually murdered three people in sacrifices to Santa Muerte.
Raya and Sakina and their husbands,Egypt,1919[514]–1920,2,Unknown,"Gang of four that rented a house for women and killed them to rob their money and jewellery. Raya and Sakina were the first women executed in the modern state of Egypt, in 1921."
Amelia Sach and Annie Walters,United Kingdom,1900–1903,1[note 1],300+[515],"Sach and Walters, known as the ""Finchley baby farmers"", would take in unwanted babies from young women, collect a fee and then discreetly murder the children. They were executed in 1903, the only double hanging of women in British history."
Bruno Lüdke,Germany,1928–1943,51,86,"Mentally disabled, Lüdke was arrested after being discovered with a corpse. Police declared him insane and imprisoned him in a psychiatric hospital, where he died when he was experimented on. The only evidence tying him to the crimes was a confession that may have been physically coerced. He was never given a trial and he is generally considered innocent.[516]"
"""Highway of Tears"" Killer",Canada,1980–present,18,83,"All the victims were young women and were last seen on Highway 16 in British Columbia between Prince George and Prince Rupert. If they were all victims of the same person, it would be one of the most prolific serial killers in Canada and one with the longest career in the world. Some of the murders have been linked to American criminal Bobby Jack Fowler, although he was in prison at the time others were committed.[517][518]"
Orlando Sabino,Brazil,1966?–1971?,12,,"Suspected of murdering 12 people in Minas Gerais and Goiás, as well as mutilating several animals; sentenced to 38 years imprisonment and died from a heart attack in 2013. Conspiracy theorists allege that the victims were killed by the military government, which framed Sabino.[519]"
Charles Quansah,Ghana,1993–2001,8,34,"Quansah, who had been in prison for rape twice, was held as a suspect in the deaths of 34 women across the country, including his girlfriend who was strangled in 2000, and eventually confessed to eight murders. He later denied the killings, claiming that the confessions had been extracted under torture, and that the police had also tried unsuccessfully to force him to implicate a number of politicians including former president Jerry Rawlings, his wife Nana Konadu Agyeman and an unidentified member of President John Kufuor's administration.[520][521]"
Redhead murders,United States,1978–1992,8+,,"Series of unsolved homicides believed to have been committed by an unidentified serial killer in Tennessee, Arkansas, Kentucky, Mississippi and Pennsylvania."
Jeff Davis 8,United States,2005–2009,8,,"The bodies of eight women, all of whom had an involvement with drugs or prostitution, were found in swamps and canals surrounding Jennings, Louisiana. Originally thought to be a serial killer, but multiple suspects may be involved."
The Beer Man,India,2006–2007,7,,"Purported unidentified serial killer that operated in Mumbai and left a beer bottle next to each body as his signature, hence the nickname. A suspect was charged with three of the murders and convicted of one in 2008, but the sentence was overturned by the High Court in 2009 because the evidence presented was deemed inadmissible."
Pedro Rosa da Conceição,Brazil,1904–1911,5,17,"Brazilian mass murderer who killed three people and wounded thirteen others on 22 April 1904. Killed his cellmate and a guard in 1911, and is said to have murdered a family of twelve people in an unspecified date and year. Died in 1919. The family murders are not verified."
Earl Bramblett,United States,1977–1994,4,6,"Mass murderer who murdered four members of the Hodges family in their home in Vinton, Virginia in August 1994. He was a suspect in the 1977 disappearances of Tammy Akers and Angela Rader, who were both 14 years old and worked for him at the time,[522] but not enough evidence to charge him was found before his execution for the Hodges murders in 2003."
Henry Lee Lucas,United States,1960–1983,3,600+,"Confessed to killing 3,000[523][524] and later 600 people but later recanted and is suspected of lying about a majority of the murders. He originally offered a list of 77 women from 19 different states, but as he confessed to more and more murders, the details became increasingly more bizarre. Some included dismemberment, necrophilia, even cannibalism. Lawmen linked Lucas and Ottis Toole to 81 murders only. Convicted of 11 murders.[525] The true number of murders committed by Lucas is unknown, but it is likely Lucas was not nearly as prolific a serial killer as he initially claimed to be, as most of his murder confessions were thoroughly discredited, and he himself claimed only one murder—that of his mother.[526][527]"
José Pedro Guedes,Portugal,1992–1993,3,3–21+,"Confessed and was arrested for the ""Lisbon Ripper"" murders in 2011, but could not be prosecuted because the Portuguese statute of limitations had already run out. Also suspected of similar murders in Lisbon and Aveiro, Portugal, as well as Germany, the Netherlands, Belgium, Denmark, Czech Republic and the 1988 New Bedford Highway Killings in Massachusetts, USA."
"""Bowraville Murders"" Killer",Australia,1990–1991,3,,"Proposed serial killer responsible of the murders of three Aboriginal children in the same area, all bludgeoned to death. Thomas Jay Hart was tried for one of the murders and acquitted, and held as a suspect in another for which he did not face prosecution."
Wayne Williams,United States,1979–1981,2,24–31,"Believed to have perpetrated the Atlanta murders of 1979–1981. After being convicted of two murders and sentenced to life imprisonment, authorities closed 22 other unsolved murders, declaring Williams to have been the perpetrator. Williams has maintained his innocence and the case was reopened in 2005.[528]"
Kieran Patrick Kelly,United Kingdom,c. 1953–1983,2,31,"Irish vagrant who operated in London, England. He was convicted of two murders but confessed to many more, claiming he used a variety of methods from pushing people in front of trains to setting them on fire to poisoning them, and said he had been murdering for a period of some thirty years. In 2015 former detective George Platt published a book about Kelly claiming he could be responsible for 31 murders, prompting the chief of the Metropolitan Police Bernard Hogan Howe to promise a re-investigation into his crimes. However, in 2019 Irish journalist Robert Mullhern published a book raising serious questions about Platt's claims, concluding that Kelly was only responsible for 5 or 6 murders.[529][530]"
